startingAirport,destinationAirport,flight_hour,segmentsAirlineCode
CLT,OAK,11,UA
CLT,OAK,12,UA
CLT,OAK,13,AS
CLT,OAK,14,UA
CLT,OAK,15,UA
CLT,OAK,16,DL
CLT,OAK,17,UA
CLT,OAK,18,DL
CLT,OAK,19,UA
CLT,OAK,20,UA
CLT,OAK,21,DL
CLT,OAK,22,DL
CLT,OAK,23,DL
CLT,ORD,0,AA
CLT,ORD,1,AA
CLT,ORD,2,AA
CLT,ORD,9,AA
CLT,ORD,10,UA
CLT,ORD,11,AA
CLT,ORD,12,AA
CLT,ORD,13,AA
CLT,ORD,14,AA
CLT,ORD,15,AA
CLT,ORD,16,DL
CLT,ORD,17,AA
CLT,ORD,18,AA
CLT,ORD,19,AA
CLT,ORD,20,AA
CLT,ORD,21,UA
CLT,ORD,22,AA
CLT,ORD,23,UA
CLT,PHL,0,AA
CLT,PHL,1,AA
CLT,PHL,2,AA
CLT,PHL,9,DL
CLT,PHL,10,NK
CLT,PHL,11,AA
CLT,PHL,12,DL
CLT,PHL,13,AA
CLT,PHL,14,AA
CLT,PHL,15,AA
CLT,PHL,16,B6
CLT,PHL,17,AA
CLT,PHL,18,AA
CLT,PHL,19,UA
CLT,PHL,20,AA
CLT,PHL,21,UA
CLT,PHL,22,AA
CLT,PHL,23,DL
CLT,SFO,0,AA
CLT,SFO,1,AA
CLT,SFO,2,AA
CLT,SFO,9,DL
CLT,SFO,10,DL
CLT,SFO,11,UA
CLT,SFO,12,UA
CLT,SFO,13,AA
CLT,SFO,14,UA
CLT,SFO,15,UA
CLT,SFO,16,DL
CLT,SFO,17,AA
CLT,SFO,18,UA
CLT,SFO,19,UA
CLT,SFO,20,AA
CLT,SFO,21,DL
CLT,SFO,22,DL
CLT,SFO,23,UA
DEN,ATL,0,DL
DEN,ATL,1,NK
DEN,ATL,2,UA
DEN,ATL,3,NK
DEN,ATL,4,UA
DEN,ATL,5,UA
DEN,ATL,6,AA
DEN,ATL,11,AA
DEN,ATL,12,AA
DEN,ATL,13,DL
DEN,ATL,14,AA
DEN,ATL,15,DL
DEN,ATL,16,AA
DEN,ATL,17,DL
DEN,ATL,18,AA
DEN,ATL,19,DL
DEN,ATL,20,AA
DEN,ATL,21,DL
DEN,ATL,22,AA
DEN,ATL,23,UA
DEN,BOS,0,AA
DEN,BOS,1,UA
DEN,BOS,2,DL
DEN,BOS,3,UA
DEN,BOS,5,B6
DEN,BOS,6,DL
DEN,BOS,11,AA
DEN,BOS,12,DL
DEN,BOS,13,UA
DEN,BOS,14,AA
DEN,BOS,15,DL
DEN,BOS,16,AA
DEN,BOS,17,DL
DEN,BOS,18,AA
DEN,BOS,19,UA
DEN,BOS,20,AA
DEN,BOS,21,AA
DEN,BOS,22,DL
DEN,BOS,23,UA
DEN,CLT,0,AA
DEN,CLT,1,F9
DEN,CLT,2,UA
DEN,CLT,3,UA
DEN,CLT,4,UA
DEN,CLT,5,UA
DEN,CLT,6,DL
DEN,CLT,11,AA
DEN,CLT,12,DL
DEN,CLT,13,DL
DEN,CLT,14,UA
DEN,CLT,15,AA
DEN,CLT,16,AA
DEN,CLT,17,AA
DEN,CLT,18,DL
DEN,CLT,19,AA
DEN,CLT,20,AA
DEN,CLT,21,DL
DEN,CLT,22,DL
DEN,CLT,23,UA
DEN,DFW,0,DL
DEN,DFW,1,NK
DEN,DFW,2,UA
DEN,DFW,3,UA
DEN,DFW,4,F9
DEN,DFW,5,F9
DEN,DFW,6,DL
DEN,DFW,11,DL
DEN,DFW,12,AA
DEN,DFW,13,UA
DEN,DFW,14,AA
DEN,DFW,15,UA
DEN,DFW,16,AA
DEN,DFW,17,UA
DEN,DFW,18,AA
DEN,DFW,19,UA
DEN,DFW,20,AA
DEN,DFW,21,DL
DEN,DFW,22,AA
DEN,DFW,23,UA
DEN,DTW,0,DL
DEN,DTW,1,NK
DEN,DTW,2,UA
DEN,DTW,3,NK
DEN,DTW,4,F9
DEN,DTW,5,UA
DEN,DTW,6,DL
DEN,DTW,11,AA
DEN,DTW,12,DL
DEN,DTW,13,AA
DEN,DTW,14,AA
DEN,DTW,15,UA
DEN,DTW,16,AA
DEN,DTW,17,DL
DEN,DTW,18,NK
DEN,DTW,19,NK
DEN,DTW,20,AA
DEN,DTW,21,DL
DEN,DTW,22,AA
DEN,DTW,23,UA
DEN,EWR,0,AA
DEN,EWR,1,UA
DEN,EWR,2,UA
DEN,EWR,3,UA
DEN,EWR,4,UA
DEN,EWR,5,UA
DEN,EWR,6,DL
DEN,EWR,11,AA
DEN,EWR,12,DL
DEN,EWR,13,DL
DEN,EWR,14,UA
DEN,EWR,15,DL
DEN,EWR,16,AA
DEN,EWR,17,DL
DEN,EWR,18,AA
DEN,EWR,19,UA
DEN,EWR,20,AA
DEN,EWR,21,AA
DEN,EWR,22,UA
DEN,EWR,23,UA
DEN,IAD,0,AA
DEN,IAD,1,UA
DEN,IAD,2,UA
DEN,IAD,3,UA
DEN,IAD,5,UA
DEN,IAD,6,DL
DEN,IAD,11,AA
DEN,IAD,12,UA
DEN,IAD,13,UA
DEN,IAD,14,UA
DEN,IAD,15,UA
DEN,IAD,16,UA
DEN,IAD,17,UA
DEN,IAD,18,DL
DEN,IAD,19,UA
DEN,IAD,20,AA
DEN,IAD,21,UA
DEN,IAD,22,DL
DEN,IAD,23,UA
DEN,JFK,0,DL
DEN,JFK,1,UA
DEN,JFK,2,UA
DEN,JFK,3,UA
DEN,JFK,5,UA
DEN,JFK,6,AA
DEN,JFK,11,AA
DEN,JFK,12,UA
DEN,JFK,13,UA
DEN,JFK,14,UA
DEN,JFK,15,UA
DEN,JFK,16,UA
DEN,JFK,17,UA
DEN,JFK,18,DL
DEN,JFK,19,UA
DEN,JFK,20,DL
DEN,JFK,21,AA
DEN,JFK,22,UA
DEN,JFK,23,UA
DEN,LAX,0,AA
DEN,LAX,1,UA
DEN,LAX,2,DL
DEN,LAX,3,NK
DEN,LAX,4,F9
DEN,LAX,5,F9
DEN,LAX,11,DL
DEN,LAX,12,AS
DEN,LAX,13,DL
DEN,LAX,14,AA
DEN,LAX,15,KG
DEN,LAX,16,UA
DEN,LAX,17,UA
DEN,LAX,18,DL
DEN,LAX,19,UA
DEN,LAX,20,DL
DEN,LAX,21,UA
DEN,LAX,22,AS
DEN,LAX,23,UA
DEN,LGA,0,DL
DEN,LGA,1,UA
DEN,LGA,2,UA
DEN,LGA,3,UA
DEN,LGA,4,UA
DEN,LGA,5,B6
DEN,LGA,6,DL
DEN,LGA,11,AA
DEN,LGA,12,AA
DEN,LGA,13,UA
DEN,LGA,14,AA
DEN,LGA,15,DL
DEN,LGA,16,AA
DEN,LGA,17,UA
DEN,LGA,18,AA
DEN,LGA,19,UA
DEN,LGA,20,AA
DEN,LGA,21,UA
DEN,LGA,22,DL
DEN,LGA,23,UA
DEN,MIA,0,AA
DEN,MIA,1,UA
DEN,MIA,2,UA
DEN,MIA,3,UA
DEN,MIA,4,UA
DEN,MIA,5,B6
DEN,MIA,6,DL
DEN,MIA,11,AA
DEN,MIA,12,DL
DEN,MIA,13,DL
DEN,MIA,14,AA
DEN,MIA,15,DL
DEN,MIA,16,NK
DEN,MIA,17,DL
DEN,MIA,18,AA
DEN,MIA,19,UA
DEN,MIA,20,DL
DEN,MIA,21,AA
DEN,MIA,22,AA
DEN,MIA,23,UA
DEN,OAK,0,DL
DEN,OAK,1,NK
DEN,OAK,2,DL
DEN,OAK,3,NK
DEN,OAK,4,F9
DEN,OAK,5,F9
DEN,OAK,11,DL
DEN,OAK,12,AS
DEN,OAK,13,UA
DEN,OAK,14,DL
DEN,OAK,15,UA
DEN,OAK,16,UA
DEN,OAK,17,UA
DEN,OAK,18,NK
DEN,OAK,19,UA
DEN,OAK,20,AS
DEN,OAK,21,UA
DEN,OAK,22,UA
DEN,OAK,23,UA
DEN,ORD,0,AA
DEN,ORD,1,UA
DEN,ORD,2,UA
DEN,ORD,3,UA
DEN,ORD,4,UA
DEN,ORD,5,AA
DEN,ORD,6,DL
DEN,ORD,11,AA
DEN,ORD,12,DL
DEN,ORD,13,DL
DEN,ORD,14,UA
